task,solution,status
"<span class=""die"">die</span>  Künstler",the artists,0
"<span class=""die"">die</span>  Landschaft",the landscape,0
"<span class=""die"">die</span>  Liebe",love,0
"<span class=""die"">die</span>  Mutter",the mother,0
"<span class=""die"">die</span>  Nachspeise",dessert,0
"<span class=""die"">die</span>  Nase",the nose,0
"<span class=""die"">die</span>  Natur",the nature,0
"<span class=""die"">die</span>  Party",the party,0
"<span class=""die"">die</span>  Privatsphäre",privacy,0
"<span class=""die"">die</span>  Pünktlichheit",the punctuality,0
"<span class=""die"">die</span>  Qualität",the quality,0
"<span class=""die"">die</span>  Quantität",the quantity,0
"<span class=""die"">die</span>  Sache",the thing,0
"<span class=""die"">die</span>  Sahne",the cream,0
"<span class=""die"">die</span>  Schuhe",the shoes,0
"<span class=""die"">die</span>  Sonne",the sun,0
"<span class=""die"">die</span>  Soße",the sauce,0
"<span class=""die"">die</span>  Sprache",the language,0
"<span class=""die"">die</span>  Suppe",the soup,0
"<span class=""die"">die</span>  Sympathie",the sympathy,0
"<span class=""die"">die</span>  Torte",the cream pie,0
"<span class=""die"">die</span>  Treppe",the stairs,0
"<span class=""die"">die</span>  Übung",the exercise,0
"<span class=""die"">die</span>  Vorspeise",the appetizer,0
"<span class=""die"">die</span>  Yacht",the yacht,0
"<span class=""die"">die</span>  Zuschaur",the viewer,0
